Frame,mixamorig:LeftHand,mixamorig:RightHand,mixamorig:Head
700,0.1709163,0.2921535,0.2464503
701,0.1776636,0.2882104,0.2463817
702,0.1764588,0.2700389,0.2442597
703,0.1644087,0.2587976,0.2465653
704,0.1651538,0.2568094,0.2505924
705,0.1558941,0.2973097,0.2516608
706,0.147055,0.3522068,0.2509907
707,0.1679122,0.3684481,0.2570959
708,0.1857077,0.3544349,0.2636324
709,0.2003558,0.3033328,0.2679878
710,0.2305723,0.2463247,0.2762327
711,0.2191186,0.207811,0.2741881
712,0.1972778,0.1691657,0.2661191
713,0.1863656,0.1528035,0.2641703
714,0.201897,0.1461514,0.2617568
715,0.2319496,0.1384217,0.262019
716,0.2707727,0.1571127,0.2653264
717,0.2941134,0.1776329,0.2666868
718,0.3087777,0.1978252,0.2638828
719,0.3168407,0.2184635,0.2643818
